"Timestamp","How would you rate your knowledge of data-flow analysis?","Which of the following statements apply to you?","User Tracking ID (Please do not edit)","Have you used the data-flow analysis tutor?","Did you use the round-robin simulator?","For the following statements, please select the option you agree with the most. [The simulator was easy to use.]","For the following statements, please select the option you agree with the most. [Information was displayed clearly and concisely.]","For the following statements, please select the option you agree with the most. [I understood the purpose of the simulator's components.]","For the following statements, please select the option you agree with the most. [I was able to simulate an analysis on an example program I wrote.]","For the following statements, please select the option you agree with the most. [The simulator increased my understanding of data-flow analysis.]","For the following statements, please select the option you agree with the most. [I would recommend the software to a friend.]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [Different analysis algorithms (e.g. structural, worklist)]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [More built-in data-flows (e.g. constant propagation)]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [Conversion to / from SSA-form]","Which features would most improve the simulation? Please rank them in order of importance to you (Optional) [Ability to define custom data-flow equations]","Is there anything else you'd like to share about the simulation?","Did you use the interactive lessons?","For the following statements, please select the option you agree with the most. [The lessons were easy to use.]","For the following statements, please select the option you agree with the most. [Information was displayed clearly and concisely.]","For the following statements, please select the option you agree with the most. [I understood the content of the lessons.]","For the following statements, please select the option you agree with the most. [The interactive elements (graphs, questions) helped my understanding.]","For the following statements, please select the option you agree with the most. [The lessons increased my understanding of data-flow analysis.]","For the following statements, please select the option you agree with the most. [I would recommend the software to a friend.]","If you *did* complete one of the lessons, what influenced you to stay til the end? Please select all that apply.","If you attempted but *did not* complete a lesson, why did you leave before finishing? Please select all that apply.","Is there anything else you'd like to share about the lessons?","Which of the following methods do you use to study?","Please select which of the following applies to you.","Will you use this software to study after the evaluation period is over?","Is there anything else you'd like to share?"
"2016/03/14 3:46:13 PM GMT+1","Basic","I am a student.;I have studied Computer Science at degree level.;I have studied another STEM subject at degree level.","zOWjnPjALPayRsyl6S4wanbu4oMRSIf0","Yes","Yes","Strongly Agree","Strongly Agree","Agree","No Response","Agree","Agree","No Response","No Response","No Response","No Response","","Yes","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","The lesson explained the content well.","","I don't think I had the background to complete the lessons","Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No","The content review let me submit before I'd answered every question"
"2016/03/14 6:22:08 PM GMT+1","None at all","I have studied Computer Science at degree level.","1YxhQxapaHWS0SiOOriBkPo4bkU9Huvz","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","No Response","Agree","No Response","No Response","No Response","No Response","No idea what I'd use this for, but it looks cool!","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","The interactive elements were engaging.","","","Attending lectures / tutorials;Reading lecture slides / notes","I would use this software *alongside* one of the methods I selected above.","No",""
"2016/03/14 10:12:55 PM GMT+1","None at all","I have studied Computer Science at degree level.","dGjSnN54Y8XdVX8sGbFnbHNBxrLrF7d5","Yes","No","","","","","","","","","","","","Yes","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","No Response","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.;I understand the need to have people test your hons project :P","","The lessons were quite interesting. I liked the concise and short amounts of information in each step - never felt overwhelmed.","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes","Will be sharing my honours project website soon which will be called 'knowlink'. It should not take a lot of time to test it and I hope it will actually be very useful, so will appreciate if you give it a go :)

Also, I was writing down notes as I tested the whole website. Not sure if all of them are useful, but will copy them here anyway:

After getting to the main page, there's no obvious indicator of what I should do next. I opted to just click on the first button in the list (in the middle of the page)
Introduction page looks useful, although since I don't take the course, didn't really go through all of it trying to learn a new language. Since it's more like a reference sheet, I might put it at the end of this list.

Weird that it's impossible to press 'back' to navigate the website. 

It's weird that in simulator, the form of the graph changes by moving the rectangles around. Might be easier to look at if the in/out values appeared inbetween the rectangles without moving them

I enjoyed the lessons!

The hover over explanations were nice, although I did not notice them at the start. Might be good to explicitly state you have them.

At one point early during lessons, it felt as if 'killing' of variables was not very clearly explained

I like how upon giving a correct answer, it is still explained! When giving answers in first lesson, I was still not 100% sure about them, so having them explained even when I was correct was nice.

Might be good to have links to specific parts of each lesson in case student wants to refresh knowledge of that step. Links to every step would be an overkill, of course, but just a very broad structure and links to start of 'topics' (e.g. round robin, post order) might be nice.

Weird that when test ends, there's still a 'next' button that can't be clicked"
"2016/03/15 6:55:58 PM GMT+1","Basic","I am a student.;I have studied Computer Science at degree level.;I have studied another STEM subject at degree level.","IcyE8kq00O0TvMswf8wZnhak8cYp2QGs","Yes","No","","","","","","","","","","","","Yes","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","The interactive elements were engaging.;The visual elements helped me to understand the content.","","","Attending lectures / tutorials;Reading lecture slides / notes","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/15 9:19:22 PM GMT+1","None at all","I am a student.","DvLMRn5FCZilS62JEy7RUjofNXerUdxj","No","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016/03/16 10:40:41 AM GMT+1","None at all","I am a student.","","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","1 (Most Important)","1 (Most Important)","1 (Most Important)","No Response","","Yes","No Response","Strongly Agree","Strongly Agree","No Response","Strongly Agree","Strongly Agree","The interactive elements were engaging.","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/16 9:48:43 PM GMT+1","Basic","I am a student of the COPT course (UoE Informatics only)","VvE3PoskhV3iGgFjVjarlwC2Y32nCX5P","Yes","Yes","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","","","","","","Yes","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","","Not enough time to complete during evaluation.","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/17 9:49:45 PM GMT+1","Advanced","I have studied another STEM subject at degree level.","o6oFm3vAdpHbTllBDUq2az30j3roOIMB","Yes","Yes","Agree","Agree","Agree","No Response","No Response","Agree","2","2","2","2","","No","","","","","","","","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No",""
"2016/03/18 5:57:12 PM GMT+1","None at all","I am a student.","I5dpRBADzLZlJF8m9IU4dgJttYEjR91v","Yes","No","","","","","","","","","","","","Yes","Strongly Agree","Disagree","Agree","Strongly Agree","No Response","Agree","The lesson explained the content well.;The visual elements helped me to understand the content.","","Marking the nodes (n_1, n_2, etc.) on the visual elements (the CFGs) would have been helpful. Otherwise, pretty good!","Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube;Discussing with colleagues","I would use this software *alongside* one of the methods I selected above.","",""
"2016/03/18 6:07:54 PM GMT+1","Basic","I am a student.;I have studied Computer Science at degree level.;I have studied another STEM subject at degree level.","ri4SbrSeiEAFL5ipWpYJIkl5oTcEz045","Yes","Yes","Agree","Agree","Agree","No Response","Agree","Agree","2","1 (Most Important)","3","4 (Least Important)","","Yes","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube;reading academic papers","I would use this software *alongside* one of the methods I selected above.","No",""
"2016/03/18 7:43:21 PM GMT+1","None at all","I am a student.","pY6Gzy6jIa3ll9GoogKXPjIai2G97i9c","Yes","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","","","","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.;The content was relevant to my studies.","","","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/19 11:12:57 AM GMT+1","None at all","I am a student.;I have studied Computer Science at degree level.","kzwS3U84mVGBCDuG9mlvnlTsAHX47nxp","Yes","No","","","","","","","","","","","","Yes","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","The lesson explained the content well.;The visual elements helped me to understand the content.","Not enough time to complete during evaluation.;The content was not interesting or engaging.","When watching the round robin simulation with post-order, the table in the bottom didn't scroll automatically, so I missed part of the process every time when new column was generated.","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/19 3:01:45 PM GMT+1","None at all","I am a student.","BHvSDSNmTmq0eyQqXIT4HNrubl8y1QNo","Yes","Yes","Disagree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","No Response","No Response","No Response","No Response","","Yes","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","The interactive elements were engaging.;The visual elements helped me to understand the content.","mesi lattice is too confusing","There was no explanation of the basics, for example: What's the difference between ra and ra1.

the zoom in graph in the introuction section make the font too large when zoomed out and changing animation

would be nice to see your progress in each lesson (3 out of 20 slides)","Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No","I got lost in the very beginning, maybe move the introduction lesson to the top of the menu?"
"2016/03/20 2:50:40 AM GMT+1","Advanced","I am a student of the COPT course (UoE Informatics only);I am a student.;I have studied Computer Science at degree level.;I have studied another STEM subject at degree level.","Lehh4CYyTAGtEqAZq2EvcBTeJcpdiHpb","Yes","Yes","Strongly Agree","Agree","Agree","No Response","Agree","Strongly Agree","3","2","1 (Most Important)","4 (Least Important)","It was not immediately clear what the green and blue rectangles meant in the CFG. That was because the first two links were not the introduction to the tutor, but one of them was directly to the simulator and it seemed confusing until I went through the tutor.

Anyway, great job! I'm in my third year of PhD in compiler optimizations and found your tool really nice and illustratory (y),","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","The interactive elements were engaging.;The lesson explained the content well.;Not needing to type formulas in, but relying on the mouse to select the right answer was a win.","","When simulating the in's and out's in the second lesson, the graph changes its shape between steps and it's hard to follow at first what is going on.","Textbooks;Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes","I haven't done the last lesson, but the first two were entertaining, so I'll come back to this when it's not 2 AM."
"2016/03/20 3:50:04 AM GMT+1","Basic","I am a student.","fFgTgTz9jwIhPtlvDomgZj65oCdctqa9","Yes","Yes","Agree","Strongly Agree","Strongly Agree","Agree","No Response","No Response","2","2","1 (Most Important)","1 (Most Important)","","Yes","No Response","Strongly Agree","Strongly Agree","Strongly Agree","No Response","No Response","The interactive elements were engaging.;The visual elements helped me to understand the content.","The content was not interesting or engaging.;The software broke or I could not proceed for some reason.;There were too many mathematical symbols and equations.","","Attending lectures / tutorials;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
"2016/03/21 9:31:49 AM GMT+1","None at all","I am a student.","EBZbeGzEBMlQJBKUBjKaZScICmeolMUV","Yes","Yes","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","No Response","No Response","No Response","No Response","No Response","Couldn't really figure out what to do with it. I've not studied anything about compiling yet though except for this tutorial.","Yes","Strongly Agree","Agree","Agree","Strongly Agree","No Response","No Response","The interactive elements were engaging.;The visual elements helped me to understand the content.","The lesson did not explain the content well.","I skimmed through the bit after monotonic functions because I didn't find it very clear and didn't really understand it. Generally didn't find the equations explained in the lessons but could figure out the In/Out ones based on the interactive parts. Having no background in this though I really don't know what defgen and defkill are or how you calculate them.","Textbooks;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","No","There's a lot of clicking to get from place to place, like needing to click 'next' for every sentence in the lessons and the 'prev' and 'next' buttons on the test seemed to be a bit broken, had to click them quite a few times to find the questions. Based on having no prior knowledge of this subject i found the lessons to be a good intro/taster for it but I'd have to use other resources to learn more about it before I could understand it enough that the simulator would be useful."
"2016/03/21 10:22:41 AM GMT+1","None at all","I am a student.;I have studied Computer Science at degree level.;I have studied another STEM subject at degree level.","3EEDLg9N9hIGfcrNN7OmAiuEiLIURUFA","Yes","Yes","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","1 (Most Important)","1 (Most Important)","2","3","","Yes","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.","The content was not relevant to my studies.;There were too many mathematical symbols and equations.","","Attending lectures / tutorials;Reading lecture slides / notes","I would use this software *alongside* one of the methods I selected above.","No",""
"2016/03/27 11:32:32 PM GMT+1","Basic","I have studied Computer Science at degree level.","eBOzCivJoiAcEP7bQHRkLAPOG0LRUyhv","Yes","No","","","","","","","","","","","","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The interactive elements were engaging.;The lesson explained the content well.;The visual elements helped me to understand the content.","","I wish the uni would use things like this for teaching - it's far easier to understand than parsing through lecture notes.","Textbooks;Reading lecture slides / notes;Internet resources e.g. Wikipedia, YouTube","I would use this software *alongside* one of the methods I selected above.","Yes",""
